FilePath,Package,ClassName,FieldName,Id,parentId,FieldType,Annotations
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\material\entities\PartStore.java,ch.cern.eam.wshub.core.services.material.entities,PartStore,abcClass,1,,String,
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\material\entities\PhysicalInventory.java,ch.cern.eam.wshub.core.services.material.entities,PhysicalInventory,abcClass,2,,String,"@InforField(xpath = ""ABCCODE"")"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\workorders\entities\Employee.java,ch.cern.eam.wshub.core.services.workorders.entities,Employee,accountBlocked,3,,String,"@Column(name = ""PER_UDFCHKBOX01"")"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\equipment\entities\NonConformityObservation.java,ch.cern.eam.wshub.core.services.equipment.entities,NonConformityObservation,acknowledgedBy,4,,String,"@GridField(name = ""acknowledgedby""), @InforField(xpath = ""ACKNOWLEDGEDBY/USERCODE"")"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\equipment\entities\NonConformityObservation.java,ch.cern.eam.wshub.core.services.equipment.entities,NonConformityObservation,acknowledgedCopiedFrom,5,,String,"@GridField(name = ""acknowledgedcopiedfromdes""), @InforField(xpath = ""ACKNOWLEDGEDCOPIEDFROM/DESCRIPTION"")"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\equipment\entities\NonConformityObservation.java,ch.cern.eam.wshub.core.services.equipment.entities,NonConformityObservation,acknowledgedDate,6,,String,"@GridField(name = ""dateacknowledged""), @InforField(xpath = ""DATEACKNOWLEDGED"")"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\equipment\entities\NonConformityObservation.java,ch.cern.eam.wshub.core.services.equipment.entities,NonConformityObservation,acknowledgedDescription,7,,String,"@GridField(name = ""massacknowledgeddesc""), @InforField(xpath = ""MASSACKNOWLEDGED/DESCRIPTION"")"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\equipment\entities\NonConformityObservation.java,ch.cern.eam.wshub.core.services.equipment.entities,NonConformityObservation,acknowledgedSourceObservation,8,,String,"@GridField(name = ""acknowledgedsourceobservseq""), @InforField(xpath = ""ACKNOWLEDGEDSOURCEOBSERVATION/OBSERVATIONNUM"")"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\workorders\entities\WorkOrder.java,ch.cern.eam.wshub.core.services.workorders.entities,WorkOrder,actionCode,9,,String,"@Transient, @InforField(xpath = ""ACTIONCODEID/ACTIONCODE"")"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\equipment\entities\EquipmentGenerationEntity.java,ch.cern.eam.wshub.core.services.equipment.entities,EquipmentGenerationEntity,activateMps,10,,String,@Transient
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\equipment\entities\EquipmentGenerationEntity.java,ch.cern.eam.wshub.core.services.equipment.entities,EquipmentGenerationEntity,active,11,,String,@Transient
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\equipment\entities\EquipmentWarranty.java,ch.cern.eam.wshub.core.services.equipment.entities,EquipmentWarranty,active,12,,Boolean,@Transient
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\workorders\entities\Activity.java,ch.cern.eam.wshub.core.services.workorders.entities,Activity,activityCode,13,,BigInteger,"@Id, @Column(name = ""ACT_ACT""), @GridField(name = ""activity""), @InforField(xpath = ""ACTIVITYID/ACTIVITYCODE/value"")"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\material\entities\IssueReturnPartTransaction.java,ch.cern.eam.wshub.core.services.material.entities,IssueReturnPartTransaction,activityCode,14,13,String,@ManyToOne
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\workorders\entities\LaborBooking.java,ch.cern.eam.wshub.core.services.workorders.entities,LaborBooking,activityCode,15,13,String,"@Column(name = ""BOO_ACT""), @GridField(name = ""booactivity""), @ManyToOne"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\workorders\entities\WorkOrderActivityChecklist.java,ch.cern.eam.wshub.core.services.workorders.entities,WorkOrderActivityChecklist,activityCode,16,13,long,"@NonNull, @InforField(xpath = ""ACTIVITYID/ACTIVITYCODE/value""), @ManyToOne"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\workorders\entities\WorkOrderActivityChecklistItem.java,ch.cern.eam.wshub.core.services.workorders.entities,WorkOrderActivityChecklistItem,activityCode,17,13,String,@ManyToOne
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\workorders\entities\WorkOrderActivityChecklistSignature.java,ch.cern.eam.wshub.core.services.workorders.entities,WorkOrderActivityChecklistSignature,activityCodeAutoGenerated,18,13,String,"@InforField(xpath = ""ACTIVITYID/ACTIVITYCODE/auto_generated""), @ManyToOne"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\workorders\entities\WorkOrderActivityChecklistSignature.java,ch.cern.eam.wshub.core.services.workorders.entities,WorkOrderActivityChecklistSignature,activityCodeValue,19,13,BigInteger,"@InforField(xpath = ""ACTIVITYID/ACTIVITYCODE/value""), @ManyToOne"
